id_postulante,Escuela,Apto,Puntaje
x3643780,ADMINISTRACION,NO,652.2
y4602520,ADMINISTRACION,NO,654.23
z4939219,ADMINISTRACION,NO,675.04
x0983443,ADMINISTRACION,NO,856.6
y0764865,ADMINISTRACION,NO,866.15
z2189638,ADMINISTRACION,NO,869.22
x7683290,ADMINISTRACION,NO,927.878
y5152947,ADMINISTRACION,NO,930.38
z5342410,ADMINISTRACION,NO,943.53
x2000390,ADMINISTRACION,NO,950.198
y0759021,ADMINISTRACION,NO,970.16
z1946537,ADMINISTRACION,NO,977.96
x4561096,ADMINISTRACION,NO,995.2
y3946276,ADMINISTRACION,NO,1003.87
z6370196,ADMINISTRACION,NO,1009.78
x0417405,ADMINISTRACION,NO,1012.18
y6656873,ADMINISTRACION,NO,1013.89
z5167548,ADMINISTRACION,NO,1025.27
x6908795,ADMINISTRACION,NO,1029.99
y0248683,ADMINISTRACION,NO,1048.72
z4568490,ADMINISTRACION,NO,1050.1
x3705406,ADMINISTRACION,NO,1059.44
y7687116,ADMINISTRACION,NO,1064.49
z1512398,ADMINISTRACION,NO,1065.34
x0065638,ADMINISTRACION,NO,1066.434
y0181756,ADMINISTRACION,NO,1070.29
z2907191,ADMINISTRACION,NO,1081.53
x1458605,ADMINISTRACION,NO,1086.03
y3743135,ADMINISTRACION,NO,1086.17
z4432933,ADMINISTRACION,NO,1099.42
x3325468,ADMINISTRACION,NO,1100.32
y3444973,ADMINISTRACION,NO,1100.85
z3818234,ADMINISTRACION,NO,1102.25
x1318271,ADMINISTRACION,NO,1121.554
y3744083,ADMINISTRACION,NO,1138.68
z3353751,ADMINISTRACION,NO,1163.39
x7104170,ADMINISTRACION,NO,1168.39
y5531641,ADMINISTRACION,NO,1175.91
z0850416,ADMINISTRACION,NO,1177.94
x0417528,ADMINISTRACION,NO,1185.97
y7281123,ADMINISTRACION,NO,1189.31
z7336438,ADMINISTRACION,NO,1197.98
x7811895,ADMINISTRACION,NO,1218.904
y4217678,ADMINISTRACION,NO,1220.34
z3644517,ADMINISTRACION,NO,1221.46
x1936325,ADMINISTRACION,NO,1222.53
y5253161,ADMINISTRACION,NO,1229.71
z6796691,ADMINISTRACION,NO,1239.29
x3578238,ADMINISTRACION,NO,1246.532
y3767574,ADMINISTRACION,NO,1252.22
z5386674,ADMINISTRACION,NO,1254.43
x0983696,ADMINISTRACION,NO,1271.28
y5502408,ADMINISTRACION,NO,1282.81
z3583297,ADMINISTRACION,NO,1304.88
x4868251,ADMINISTRACION,NO,1305.036
y3822240,ADMINISTRACION,NO,1306.9
z7025577,ADMINISTRACION,NO,1316.41
x3316011,ADMINISTRACION,NO,1319.67
y4365134,ADMINISTRACION,NO,1328.67
z6944671,ADMINISTRACION,NO,1330.17
x5884795,ADMINISTRACION,NO,1342.85
y5938839,ADMINISTRACION,NO,1343
z2232931,ADMINISTRACION,NO,1348.44
x8885779,ADMINISTRACION,NO,1349.13
y1520895,ADMINISTRACION,NO,1353.102
z0493041,ADMINISTRACION,NO,1372.93
x6840451,ADMINISTRACION,NO,1375.57
y3590251,ADMINISTRACION,NO,1381.43
z6950168,ADMINISTRACION,NO,1385.91
x5903438,ADMINISTRACION,NO,1387.35
y0246641,ADMINISTRACION,NO,1397.736
z1868329,ADMINISTRACION,NO,1402.26
x6274585,ADMINISTRACION,NO,1413.422
y4290754,ADMINISTRACION,NO,1423.15
z4466081,ADMINISTRACION,NO,1423.3
x3072252,ADMINISTRACION,NO,1428.04
y0417075,ADMINISTRACION,NO,1431.87
z1721242,ADMINISTRACION,NO,1432.03
x4888567,ADMINISTRACION,NO,1432.5
y3751724,ADMINISTRACION,NO,1439.22
z6946499,ADMINISTRACION,NO,1441.49
x5501385,ADMINISTRACION,NO,1445.234
y1905251,ADMINISTRACION,NO,1450.71
z7427306,ADMINISTRACION,NO,1455.45
x5251668,ADMINISTRACION,NO,1460.99
y3951134,ADMINISTRACION,NO,1466.5
z6693379,ADMINISTRACION,NO,1469.67
x3231120,ADMINISTRACION,NO,1475.13
y0403287,ADMINISTRACION,NO,1484.142
z0417253,ADMINISTRACION,NO,1487.85
x2047624,ADMINISTRACION,NO,1490.8
y3360555,ADMINISTRACION,NO,1504.98
z1439259,ADMINISTRACION,NO,1507.342
x0846821,ADMINISTRACION,NO,1510.884
y0983356,ADMINISTRACION,NO,1516.45
z0865242,ADMINISTRACION,NO,1517.6
x4966315,ADMINISTRACION,NO,1518.03
y1945300,ADMINISTRACION,NO,1524.776
z0850495,ADMINISTRACION,NO,1525.79
x6699461,ADMINISTRACION,NO,1526.93
y4319946,ADMINISTRACION,NO,1533.82
z5834326,ADMINISTRACION,NO,1536.96
x3762381,ADMINISTRACION,NO,1539.53
y5741048,ADMINISTRACION,NO,1542.47
z7667066,ADMINISTRACION,NO,1542.88
x0765117,ADMINISTRACION,NO,1544.85
y3810786,ADMINISTRACION,NO,1547.92
z6000602,ADMINISTRACION,NO,1548.102
x1644670,ADMINISTRACION,NO,1554.78
y0982908,ADMINISTRACION,NO,1556.32
z7477233,ADMINISTRACION,NO,1561.87
x5342067,ADMINISTRACION,NO,1565.884
y4220713,ADMINISTRACION,NO,1574.95
z6843280,ADMINISTRACION,NO,1578.03
x5487529,ADMINISTRACION,NO,1581.23
y0202262,ADMINISTRACION,NO,1582.97
z3353616,ADMINISTRACION,NO,1583.902
x0486465,ADMINISTRACION,NO,1585.44
y3303274,ADMINISTRACION,NO,1586.48
z3478551,ADMINISTRACION,NO,1596.95
x4155976,ADMINISTRACION,NO,1599.13
y6675230,ADMINISTRACION,NO,1607.12
z3266603,ADMINISTRACION,NO,1610.86
x1665014,ADMINISTRACION,NO,1614.38
y3651653,ADMINISTRACION,NO,1617.28
z3611552,ADMINISTRACION,NO,1624.15
x5339658,ADMINISTRACION,NO,1625.844
